VG,50,50,50,100,100,100,150,150,150,200,200,200,250,250,250
6,3.85E-06,4.14E-06,4.06E-06,3.88E-06,4.19E-06,4.15E-06,3.93E-06,4.24E-06,4.20E-06,4.38E-06,4.45E-06,4.40E-06,4.30E-06,4.35E-06,4.30E-06
6.75,3.91E-06,4.20E-06,4.12E-06,3.94E-06,4.25E-06,4.20E-06,3.99E-06,4.29E-06,4.26E-06,4.44E-06,4.50E-06,4.45E-06,4.35E-06,4.40E-06,4.35E-06
7.5,3.97E-06,4.26E-06,4.18E-06,4.00E-06,4.30E-06,4.26E-06,4.04E-06,4.34E-06,4.31E-06,4.49E-06,4.55E-06,4.51E-06,4.39E-06,4.45E-06,4.40E-06
8.25,4.02E-06,4.32E-06,4.24E-06,4.06E-06,4.36E-06,4.32E-06,4.10E-06,4.39E-06,4.36E-06,4.54E-06,4.60E-06,4.56E-06,4.44E-06,4.50E-06,4.45E-06
9,4.08E-06,4.38E-06,4.29E-06,4.11E-06,4.42E-06,4.37E-06,4.15E-06,4.45E-06,4.41E-06,4.60E-06,4.65E-06,4.61E-06,4.49E-06,4.55E-06,4.50E-06
9.75,4.14E-06,4.43E-06,4.35E-06,4.17E-06,4.47E-06,4.43E-06,4.20E-06,4.50E-06,4.46E-06,4.65E-06,4.70E-06,4.65E-06,4.54E-06,4.59E-06,4.55E-06
10.5,4.20E-06,4.49E-06,4.40E-06,4.23E-06,4.53E-06,4.48E-06,4.26E-06,4.55E-06,4.51E-06,4.70E-06,4.75E-06,4.70E-06,4.58E-06,4.64E-06,4.60E-06
11.25,4.26E-06,4.54E-06,4.46E-06,4.28E-06,4.58E-06,4.54E-06,4.31E-06,4.60E-06,4.56E-06,4.75E-06,4.80E-06,4.75E-06,4.63E-06,4.69E-06,4.65E-06
12,4.31E-06,4.60E-06,4.51E-06,4.34E-06,4.63E-06,4.59E-06,4.36E-06,4.65E-06,4.61E-06,4.80E-06,4.84E-06,4.80E-06,4.67E-06,4.73E-06,4.69E-06
12.75,4.37E-06,4.65E-06,4.57E-06,4.40E-06,4.68E-06,4.64E-06,4.42E-06,4.69E-06,4.66E-06,4.85E-06,4.89E-06,4.85E-06,4.72E-06,4.78E-06,4.74E-06
