VG,50,50,50,100,100,100,150,150,150,200,200,200,250,250,250
-18.75,1.48E-12,1.74E-12,1.18E-12,1.94E-12,2.60E-13,4.00E-14,1.38E-12,1.14E-12,1.18E-12,1.62E-12,1.38E-12,1.44E-12,1.94E-12,1.86E-12,2.04E-12
-18,1.42E-12,1.08E-12,1.00E-12,1.82E-12,2.40E-13,5.00E-13,1.14E-12,1.62E-12,1.58E-12,1.62E-12,1.38E-12,1.30E-12,1.98E-12,2.02E-12,1.92E-12
-17.25,9.00E-13,1.06E-12,2.00E-13,8.40E-13,8.60E-13,5.40E-13,1.22E-12,1.42E-12,1.36E-12,1.94E-12,1.64E-12,1.94E-12,2.02E-12,1.88E-12,2.14E-12
-16.5,3.20E-13,7.20E-13,6.20E-13,1.70E-12,9.40E-13,1.06E-12,1.34E-12,1.50E-12,1.16E-12,1.18E-12,1.48E-12,1.94E-12,1.86E-12,1.70E-12,2.02E-12
-15.75,1.40E-13,1.60E-13,7.20E-13,2.06E-12,1.24E-12,1.66E-12,1.26E-12,1.40E-12,1.42E-12,1.32E-12,1.86E-12,1.26E-12,1.78E-12,1.98E-12,1.86E-12
-15,1.00E-13,5.40E-13,1.26E-12,1.92E-12,9.80E-13,2.04E-12,1.38E-12,1.18E-12,1.40E-12,1.40E-12,1.70E-12,1.44E-12,1.76E-12,1.60E-12,1.74E-12
-14.25,8.80E-13,8.80E-13,2.02E-12,1.90E-12,1.78E-12,1.70E-12,1.20E-12,1.32E-12,1.26E-12,1.78E-12,1.62E-12,1.68E-12,1.78E-12,1.72E-12,1.92E-12
-13.5,1.26E-12,1.78E-12,2.22E-12,2.12E-12,2.14E-12,1.96E-12,1.58E-12,1.70E-12,1.14E-12,1.44E-12,1.32E-12,1.60E-12,1.84E-12,2.02E-12,2.04E-12
-12.75,1.52E-12,2.02E-12,2.14E-12,2.24E-12,1.78E-12,2.44E-12,1.76E-12,1.72E-12,1.50E-12,1.40E-12,1.72E-12,1.40E-12,2.04E-12,2.16E-12,2.20E-12
-12,1.60E-12,2.14E-12,2.18E-12,2.00E-12,1.86E-12,2.20E-12,1.16E-12,1.26E-12,1.76E-12,1.44E-12,1.74E-12,1.30E-12,2.10E-12,2.24E-12,1.86E-12
-11.25,1.88E-12,2.26E-12,2.62E-12,2.02E-12,2.40E-12,2.24E-12,1.30E-12,1.42E-12,1.48E-12,1.72E-12,1.64E-12,1.32E-12,2.02E-12,1.90E-12,2.22E-12
-10.5,2.42E-12,2.58E-12,2.52E-12,1.80E-12,2.92E-12,2.14E-12,1.12E-12,1.68E-12,1.64E-12,1.68E-12,1.60E-12,1.56E-12,2.00E-12,1.82E-12,2.38E-12
-9.75,2.24E-12,2.70E-12,2.84E-12,1.96E-12,2.14E-12,2.24E-12,1.24E-12,1.66E-12,1.64E-12,1.50E-12,1.68E-12,1.72E-12,2.12E-12,1.86E-12,1.90E-12
-9,2.20E-12,2.58E-12,2.72E-12,2.10E-12,1.62E-12,2.60E-12,1.32E-12,1.84E-12,1.28E-12,1.78E-12,1.92E-12,1.74E-12,2.20E-12,2.16E-12,2.30E-12
-8.25,2.18E-12,2.60E-12,2.58E-12,2.10E-12,2.18E-12,2.42E-12,1.36E-12,1.48E-12,1.42E-12,1.70E-12,1.92E-12,1.54E-12,1.66E-12,2.22E-12,2.08E-12
-7.5,2.20E-12,2.30E-12,2.54E-12,2.16E-12,2.64E-12,2.42E-12,1.18E-12,1.50E-12,1.68E-12,1.82E-12,2.00E-12,1.60E-12,1.62E-12,1.84E-12,1.82E-12
-6.75,2.58E-12,2.38E-12,2.62E-12,2.00E-12,2.70E-12,2.06E-12,9.60E-13,1.38E-12,1.54E-12,1.82E-12,1.66E-12,1.80E-12,1.94E-12,1.70E-12,2.26E-12
-6,1.76E-12,1.92E-12,1.82E-12,1.50E-12,1.24E-12,1.64E-12,1.38E-12,1.54E-12,1.88E-12,1.68E-12,1.70E-12,1.96E-12,2.14E-12,1.62E-12,2.16E-12
-5.25,2.20E-12,1.76E-12,2.58E-12,1.90E-12,1.34E-12,1.76E-12,1.56E-12,1.24E-12,1.52E-12,1.50E-12,1.56E-12,1.62E-12,2.36E-12,2.12E-12,2.02E-12
-4.5,2.26E-12,1.88E-12,2.56E-12,2.14E-12,2.08E-12,1.96E-12,1.58E-12,1.46E-12,1.34E-12,1.36E-12,1.58E-12,1.52E-12,1.98E-12,1.68E-12,1.72E-12
